,Entity,Year,Records,Sources,Method_Organization type_joined
68,Philippines Commission on Elections,2016,55000000,[36],"hacked,government"
35,Bell Canada,2018,100000,[50],"hacked,telecoms"
199,"NEC Networks, LLC",2021,1600000,[255],"hacked,healthcare"
41,Blank Media Games,2018,7633234,[55][56],"hacked,gaming"
53,Cathay Pacific Airways,2018,9400000,[75],"hacked,transport"
319,Vastaamo,2020,130000,[374],"hacked,healthcare"
47,2019 Bulgarian revenue agency hack,2019,1750000,[65],"hacked,government"
15,AOL,2004,92000000,[28][29],"inside job, hacked,web"
315,U.S. law enforcement (70 different agencies),2011,123461,[371],"accidentally published,government"
205,New York Taxis,2014,52000,[261],"poor security,transport"
187,Ministry of Health (Singapore),2019,14200,[245][246],"poor security/inside job,healthcare"
99,Embassy Cables,2010,251000,[126],"inside job,government"
148,Instagram,2020,200000000,[201],"poor security,social network"
128,Gmail,2014,5000000,[168],"hacked,web"
266,Syrian government (Syria Files),2012,2434899,[319][320],"hacked,government"
184,Microsoft Exchange servers,2021,1750000,[241],"zero-day vulnerabilities,software"
198,Natural Grocers,2015,1750000,[254],"hacked,retail"
37,Betfair,2010,2300000,[36],"hacked,web"
126,Gawker,2010,1500000,[165][166],"hacked,web"
113,Facebook,2019,267000000,[149][150],"poor security,social network"
339,Yahoo,2013,3000000000,[395][396],"hacked,web"
179,US Medicaid,2012,780000,[36],"hacked,government, healthcare"
95,"Earl Enterprises(Buca di Beppo, Earl of Sandwich, Planet Hollywood,Chicken Guy, Mixology, Tequila Taqueria)",2014,2000000,[122],"hacked,restaurant"
123,Unknown,2020,201000000,[162],"Poor security,personal and demographic data about residents and their properties of US"
82,Democratic National Committee,2016,19252,[106],"hacked,political"
73,Cox Communications,2016,40000,[95],"hacked,telecoms"
125,Gap Inc.,2007,800000,[164],"lost / stolen computer,retail"
85,Domino's Pizza (France),2014,600000,[110],"hacked,web"
348,National Health Information Center (NCZI) of Slovakia,2020,391250,[409],"poor security,healthcare"
216,Office of the Texas Attorney General,2012,6500000,[272],"accidentally published,government"
154,Japanet Takata,2004,510000,[210],"inside job,shopping"
196,MyHeritage,2018,92283889,[252],"unknown,genealogy"
192,Monster.com,2007,1600000,[249],"hacked,web"
241,Service Personnel and Veterans Agency (UK),2008,50500,[295],"lost / stolen media,government"
185,Militarysingles.com,2012,163792,[242],"accidentally published,web, military"
159,KDDI,2006,4000000,[215],"hacked,telecoms"
1,Accendo Insurance Co.,2020,175350,[8][9],"poor security,healthcare"
318,National Guard of the United States,2009,131000,[36],"lost / stolen computer,military"
105,Exactis,2018,340000000,[134],"poor security,data broker"
109,Facebook,2013,6000000,[139],"accidentally published,social network"
106,Excellus BlueCross BlueShield,2015,10000000,[135],"hacked,healthcare"
336,WordPress,2018,1750000,[392],"hacked,web service"
58,CheckPeople,2020,56000000,[80],"unknown,background check"
201,Nemours Foundation,2011,1055489,[124][258],"lost / stolen media,healthcare"
151,Inuvik hospital,2016,6700,[207],"inside job,healthcare"
245,SlickWraps,2020,377428,[299],"poor security,phone accessories"
140,Heartland,2009,130000000,[188][189],"hacked,financial"
167,"Landry's, Inc.",2015,1750000,[222][223],"hacked,restaurant"
191,Mobile TeleSystems (MTS),2019,100000000,[36],"misconfiguration/poor security,telecommunications"
202,Network Solutions,2009,573000,[259][260],"hacked,tech"
52,"CardSystems Solutions Inc. (MasterCard, Visa, Discover Financial Services and American Express)",2005,40000000,[73][74],"hacked,financial"
210,Nippon Television,2016,430000,[70],"hacked,media"
171,"LinkedIn, eHarmony, Last.fm",2012,8000000,[227][228],"accidentally published,web"
168,Les Ãditions ProtÃ©gez-vous,2020,380000,[224],"unknown,publisher (magazine)"
283,"Triple-S Salud, Inc.",2010,398000,[124],"lost / stolen media,healthcare"
323,Virginia Department of Health,2009,8257378,[36],"hacked,government, healthcare"
160,Kirkwood Community College,2013,125000,[78][216],"hacked,academic"
118,FireEye,2020,1750000,[154][155][156],"hacked,Information Security"
116,Fidelity National Information Services,2007,8500000,[152],"inside job,financial"
220,OVH,2013,1750000,[274],"hacked,web"
269,Target Corporation,2013,110000000,[323][324],"hacked,retail"
141,Heathrow Airport,2017,1750000,[190][191][192],"lost / stolen media,transport"
18,"Apple, Inc./BlueToad",2021,12367232,[32],"accidentally published,tech, retail"
161,KM.RU,2016,1500000,[217],"hacked,web"
246,SnapChat,2013,4700000,[300],"hacked,web, tech"
89,Drupal,2013,1000000,[114],"hacked,web"
247,SolarWinds,2020,1750000,[301],"hacked,Network Monitoring"
124,Gamigo,2012,8000000,[163],"hacked,web"
312,U.S. Department of Defense,2009,72000,[36],"lost / stolen media,military"
93,EasyJet,2014,1750000,[119][120],"hacked,transport"
62,Citigroup,2011,360083,[84],"hacked,financial"
117,First American Corporation,2019,885000000,[153],"poor security,financial service company"
45,2018 British Airways cyberattack,2018,500000,[61][62][63],"hacked,transport"
158,Justdial,2019,100000000,[214],"unprotected api,local search"
254,"South Shore Hospital, Massachusetts",2010,800000,[36],"lost / stolen media,healthcare"
10,TD Ameritrade,2005,200000,[22],"lost / stolen media,financial"
207,NHS,2011,8300000,[263],"lost / stolen media,healthcare"
301,"University of California, Berkeley",2009,160000,[359],"hacked,academic"
63,Citigroup,2013,150000,[85],"poor security,financial"
324,Virginia Prescription Monitoring Program,2009,531400,[36],"hacked,healthcare"
250,Sony Pictures,2014,1750000,[305],"hacked,media"
13,"Ankle & Foot Center of Tampa Bay, Inc.",2021,156000,[25],"hacked,healthcare"
79,Defense Integrated Data Center (South Korea),2017,1750000,[102],"hacked,military"
281,T-Mobile,2021,45000000,[340],"hacked,telecom"
267,Taobao,2016,20000000,[321],"hacked,retail"
282,Tricare,2011,4901432,[36],"lost / stolen computer,military, healthcare"
54,CareFirst BlueCross Blue Shield - Maryland,2015,1100000,[76],"hacked,healthcare"
186,Ministry of Education (Chile),2008,6000000,[243][244],"accidentally published,government"
130,Greek government,2012,9000000,[172],"hacked,government"
304,University of Central Florida,2016,63000,[362],"hacked,academic"
44,BMO and Simplii,2018,90000,[60],"poor security,banking"
173,MacRumors.com,2014,860000,[231],"hacked,web"
275,Texas Lottery,2007,89000,[36],"inside job,government"
19,Apple,2021,275000,[33],"hacked,tech"
156,JP Morgan Chase,2010,2600000,[212],"lost / stolen media,financial"
346,Zynga,2019,173000000,[406][407],"hacked,social network"
295,"UCLA Medical Center, Santa Monica",2015,4500000,[353],"hacked,healthcare"
164,Kroll Background America,2013,1000000,[117][118],"hacked,tech"
287,Twitch,2015,1750000,[346],"hacked,tech"
87,UK Driving Standards Agency,2007,3000000,[112],"lost / stolen media,government"
311,U.S. Army(classified Iraq War documents),2010,392000,[365],"inside job,government"
